"","words","freq"
"1","java",75
"2","new",52
"3","data",39
"4","code",38
"5","int",34
"6","applet",30
"7","class",29
"8","button",28
"9","array",25
"10","objects",24
"11","method",23
"12","object",23
"13","public",22
"14","example",19
"15","string",19
"16","language",15
"17","memory",15
"18","null",15
"19","return",15
"20","types",14
"21","use",14
"22","void",14
"23","comments",13
"24","browser",12
"25","may",12
"26","primitive",12
"27","program",12
"28","allocate",11
"29","can",11
"30","applets",10
"31","following",10
"32","garbage",10
"33","pointer",10
"34","runtime",10
"35","stack",10
"36","adata",9
"37","applications",9
"38","called",9
"39","file",9
"40","make",9
"41","methods",9
"42","operator",9
"43","reference",9
"44","system",9
"45","two",9
"46","byte",8
"47","collection",8
"48","init",8
"49","programs",8
"50","stat",8
"51","variables",8
"52","arrays",7
"53","bdata",7
"54","bits",7
"55","constant",7
"56","element",7
"57","one",7
"58","parameters",7
"59","pointers",7
"60","type",7
"61","equivalent",6
"62","heap",6
"63","literal",6
"64","note",6
"65","refer",6
"66","strings",6
"67","value",6
"68","boolean",5
"69","buttonok",5
"70","buttons",5
"71","cstyle",5
"72","elements",5
"73","executed",5
"74","expressions",5
"75","import",5
"76","instance",5
"77","passed",5
"78","portable",5
"79","predefined",5
"80","semantics",5
"81","similar",5
"82","source",5
"83","statements",5
"84","static",5
"85","threads",5
"86","used",5
"87","using",5
"88","allocates",4
"89","animations",4
"90","args",4
"91","blah",4
"92","booleanexpr",4
"93","calloc",4
"94","comment",4
"95","compiler",4
"96","consider",4
"97","create",4
"98","definition",4
"99","definitions",4
"100","effect",4
"101","else",4
"102","execution",4
"103","final",4
"104","however",4
"105","integer",4
"106","ints",4
"107","library",4
"108","main",4
"109","makes",4
"110","must",4
"111","need",4
"112","platform",4
"113","simple",4
"114","sizeofbutton",4
"115","start",4
"116","stop",4
"117","tag",4
"118","therefore",4
"119","true",4
"120","version",4
"121","write",4
"122","www",4
"123","always",3
"124","appletviewer",3
"125","application",3
"126","arithmetic",3
"127","assigned",3
"128","automatic",3
"129","automatically",3
"130","bfoobutton",3
"131","call",3
"132","classes",3
"133","collector",3
"134","compilation",3
"135","contrast",3
"136","convert",3
"137","copy",3
"138","creates",3
"139","dataint",3
"140","default",3
"141","define",3
"142","defined",3
"143","defines",3
"144","description",3
"145","destroy",3
"146","double",3
"147","drawn",3
"148","easily",3
"149","either",3
